"","CYFZ_PBMC","FY2H_PBMC","FLWA_PBMC","453W_PBMC","684C_PBMC","CZJE_PBMC","DZQV_PBMC","925L_PBMC","9JD4_PBMC","G4YW_PBMC","4DUY_PBMC","36TS_PBMC","CR3L_PBMC"
"A2M",36.639632,40.423367,42.562249,67.06031,22.891169,33.671085,44.335379,55.98437981,18.025644,26.9692806,24.77942,41.728036,39.621263
"ABCB10",3.566941,4.95804,10.32578,9.093818,9.335853,5.04099,3.53009,3.479193,7.19413,7.94684,3.470464,6.988003,3.80447
"ABCB9",3.2068063,1.6045801,3.381447118,4.2072193,3.93813,6.088132,3.2820628,4.430083052,2.7752816,4.554966,2.9673412,2.71244965,2.777873
"ABI1",142.3458628,137.9686331,161.5009912,152.402848,150.272872,143.7123516,95.57416,129.4541952,114.484418,125.434642,132.212781,100.06195,115.2985745
"ABL1",3.9132181,3.958835,8.4321206,6.20899,5.693247,8.113865,5.2778489,6.36239,5.50422,6.894145,4.255463,4.94436,5.753658
"ABL2",2.234016,2.45955,2.4502774,1.690504,1.982259,2.569469,1.165227,4.0813478,6.2425844,2.046406,1.642785,3.551945,1.8996
"ACE",2.4569519,2.952174,1.5601017,9.00098694,4.885682,1.674149,2.821409001,3.2125869,2.88060373,3.9488664,1.1821776,1.91454,2.1534422
"ACIN1",34.274976,16.99187338,20.97597,22.187909,23.641242,26.35316,47.7145007,54.545152,46.890799,51.8323054,40.664749,38.96548,29.110811
"ACKR2",1.579675,1.665739,2.016849,1.244623,0.6308779,0.915057,0.805619,2.75985,0.907078,2.217693,0.784456,0.333533,1.380974
"ACKR3",5.9525,3.09416,1.760598,4.13649,3.044139,1.862665,3.77143,2.589898,1.52145,3.508144,2.972289,2.60424,1.00713
"ACKR4",0,0.818949,0,0.309284,0.565685,0.539205,0.0959888,0.213055,0.0468998,0.402365,0.718307,0.192726,0.0694267
"ACOD1",0.096492,0,1.14972,0,0,0,0.129933,0.139086,0.338468,0,0,0,0
"ACP5",43.30291,45.271354,40.74484,34.80668,50.712324,47.811646,78.17383,51.553486,51.82357,67.847829,118.36995,44.505561,48.57867
"ACP6",12.44391,5.309811,8.058769,10.55092,8.912813,13.811042,8.493649,8.565555,8.230989,9.740357,11.7049903,7.1084502,7.750301
"ACTB",11487.8276,13939.51885,12324.23371,13527.49009,11112.63607,11276.60068,11685.04033,11955.17277,11440.55459,12723.73113,13958.71558,14275.45513,9499.8888
"ACTG1",1628.95302,1785.90367,1824.929386,1889.867604,1541.17703,1406.961849,2143.993768,2032.667124,1857.255221,2054.112689,2916.253749,2147.716356,1112.422465
"ACTL6A",61.86982,57.08033,74.950729,65.54557,56.518267,51.80045,60.671909,77.9650681,78.88492,74.08182,85.16008,33.31545008,45.354196
"ACTN1",61.774948,139.8495972,105.4103403,98.20665,95.216531,85.72651702,92.88334101,102.041376,95.509903,97.811362,114.380709,93.11956,155.381994
"ACTR2",152.95901,186.36476,140.91193,166.43773,162.98138,267.5558,207.48224,263.54221,196.538752,214.86086,260.95791,238.172,284.63495
"ACTR3",463.28755,472.463557,409.217051,479.6362448,436.00655,428.62687,448.43841,455.851997,434.50095,459.14939,498.56768,399.67207,378.84694
"ACVR1B",2.110765,5.580808,5.551252,5.538696,4.536171,4.663789,2.500619,4.025266,5.676816,9.417343,6.458615,5.885098,7.206358
"ACVR2A",17.857504,14.481287,15.276005,16.130916,16.839729,11.199451,11.047295,15.8067693,6.14451,11.707474,12.810429,13.752609,5.420049
"ADA",56.718376,60.675773,69.12189,75.97533,74.034721,48.899397,54.123835,38.923621,57.938159,63.850626,89.39321,46.514872,65.597148
"ADAM10",137.578088,208.190602,122.5642355,197.52863,169.1460719,177.87903,156.482779,184.371178,131.1423878,131.7136126,173.31551,127.581115,222.0308239
"ADAM15",52.96881622,48.52611,48.7089288,83.7880755,56.27781619,58.10854623,64.54446101,66.26250175,60.9950846,62.8199184,50.68165078,57.3526878,48.2278157
"ADAM17",31.261506,36.98112,22.672885,28.68047,32.4035246,24.885501,18.797375,21.57286,17.29893,19.756902,28.48218,21.77156,26.93617
"ADAM8",93.514528,76.852599,97.297528,115.807834,93.214062,80.830495,69.494879,122.037148,117.541653,103.751032,130.687579,78.760804,92.993825
"ADAM9",13.247241,27.784645,24.00864124,28.879029,17.22711,15.48562054,13.25448111,16.864624,14.714545,15.62361483,18.513359,18.385295,28.863288
"ADAMDEC1",2.902494,0.429763,1.263953,0.0819913,1.523308,0.822302,1.350031,1.144708,0.783775,0.805364,0.259965,1.68265,0.165544
"ADAMTS13",0.3892116,0.514652,0.4360425,0.3081517,0.043302,1.318295,0.501411487,0,2.331335,0.119298,0.992733901,0.128486,0.970799
"ADAR",42.562252,48.166323,66.94903,90.880979,69.945681,53.587698,90.819762,73.76609,70.487634,58.184495,81.525035,65.903503,107.617363
"ADARB1",1.717704646,5.450236612,2.250614,5.570514,2.2245309,2.6997055,3.159983006,8.156256,2.3806353,4.5579949,5.135889,2.206428,10.379066
"ADCY7",81.985379,97.10126,63.8983201,108.7658507,67.428242,74.325659,81.305564,84.93666402,70.764015,68.994754,105.8918,63.876302,92.748895
"ADD2",1.679463,2.43516,1.252115,2.621698,4.2646553,1.329017,1.05231,3.042634314,1.984009,1.529178309,2.313817,0.969375,2.868087
"ADGRB1",0.0944043,0,0,0,0.151255,0.2794779,0,0.0626908,0.3392635,0.1288117,0.0621891,0.0960984,0.3001897
