fromNode,toNode,weight
A2M,AHR,0.724805706
A2M,CHIT1,0.730129411
A2M,DAPK2,0.701695341
A2M,EPX,0.748527396
A2M,HAX1,-0.744255007
A2M,HRH1,0.747718095
A2M,IFNL1,0.8272814
A2M,KRT1,0.774268144
A2M,OPRD1,0.748940949
A2M,PRDM1,0.723418766
ABCB10,AKT1,0.719686809
ABCB10,ANKHD1,0.725205335
ABCB10,ARRB2,0.762344045
ABCB10,CADM1,-0.723719268
ABCB10,CD300LB,0.75297447
ABCB10,DCAF15,0.784396866
ABCB10,DGKZ,0.775225643
ABCB10,FAM20C,0.778143921
ABCB10,G6PD,0.702974373
ABCB10,HIPK1,0.761679811
ABCB10,HIPK2,0.717393815
ABCB10,IFNW1,0.796223309
ABCB10,L3MBTL3,-0.716321821
ABCB10,LNPEP,-0.797982757
ABCB10,LRP1,0.739316532
ABCB10,LRRC8A,0.770899278
ABCB10,MAP2K1,0.823084252
ABCB10,MAP2K4,0.807117666
ABCB10,MFHAS1,0.856097866
ABCB10,MKNK2,0.769120141
ABCB10,N4BP1,0.772109903
ABCB10,NCK2,0.774366749
ABCB10,NPLOC4,0.782083917
ABCB10,OTUD4,0.74965676
ABCB10,PKN1,0.708707467
ABCB10,PLEC,0.869519796
ABCB10,POLR3D,0.764782955
ABCB10,PREX1,0.754754257
ABCB10,PRKD2,0.738369776
ABCB10,RPS6KA3,0.823477529
ABCB10,RUNX3,0.707684115
ABCB10,TREML4,-0.716351384
ABCB10,TRIM23,-0.764024027
ABCB10,TRIM28,0.802670021
ABCB10,WAS,0.736017146
ABCB9,ABL1,0.704564838
ABCB9,ATG5,0.744775162
ABCB9,CCR6,0.721592112
ABCB9,CD1C,0.776368112
ABCB9,CDH26,0.816022345
ABCB9,DLG1,0.702026796
ABCB9,ERCC1,0.725931
ABCB9,FPR3,0.89888893
ABCB9,IL2RB,0.733294391
ABCB9,LIF,0.705123675
ABCB9,LMO4,0.710448347
ABCB9,NBL1,-0.728270701
ABCB9,PRSS2,0.705319258
ABCB9,PTGDS,0.862920847
ABCB9,RNASE6,0.718216711
ABCB9,STX7,0.721144816
