fromNode,toNode,weight
A2M,ANGPT1,0.749197503
A2M,MFAP4,0.832173453
A2M,SLIT2,0.768197808
A2M,TCF21,0.796835298
ACE,NOTCH4,0.711184817
ACIN1,ZNF335,0.711981664
ACKR4,CHST4,0.754359074
ACKR4,DEFB113,0.714360425
ACKR4,LRRC19,0.743196627
ACOD1,GBP5,0.707227127
ACTN1,MMP14,0.710101354
ADAM10,TMOD3,0.704603212
ADAMDEC1,CLEC4E,0.716137137
ADAMDEC1,CLEC6A,0.713724979
ADAMDEC1,LILRB4,0.709622911
ADAMDEC1,PLA2G2D,0.727805806
ADAR,GON4L,0.741945123
ADAR,SNX27,0.740846604
AGER,BTNL9,0.764184535
AGER,EDNRB,0.718271132
AGER,FOXF1,0.744904663
AGER,RTKN2,0.809027078
AGER,VEGFD,0.720490422
AHSP,HAND2,0.841792862
AIF1,BTK,0.808108254
AIF1,C1QA,0.831297351
AIF1,C1QB,0.809172003
AIF1,C1QC,0.841023506
AIF1,C3AR1,0.827182802
AIF1,CD14,0.799492631
AIF1,CD300A,0.778430043
AIF1,CD300C,0.761196298
AIF1,CD33,0.871095131
AIF1,CD4,0.815917319
AIF1,CD80,0.76407849
AIF1,CD84,0.702319157
AIF1,CD86,0.897819565
AIF1,CLEC10A,0.718984829
AIF1,CLEC4A,0.789116393
AIF1,CSF1R,0.804229056
AIF1,CYBB,0.779895811
AIF1,EVI2B,0.734705439
AIF1,FCER1G,0.902632569
AIF1,FCGR1A,0.833318716
AIF1,FCGR2A,0.731229128
AIF1,FCGR2B,0.72779719
AIF1,FCGR3A,0.794758703
AIF1,FPR3,0.751779114
AIF1,GPR65,0.838007814
AIF1,HAVCR2,0.897079201
AIF1,HLA-DMB,0.761923612
AIF1,HLA-DRA,0.747329007
AIF1,IGSF6,0.806423529
AIF1,LAIR1,0.835396624
AIF1,LAPTM5,0.862108737
AIF1,LCP1,0.703968212
AIF1,LCP2,0.804553483
AIF1,LILRB1,0.733018971
AIF1,LILRB2,0.727550363
AIF1,LPXN,0.756852298
AIF1,LST1,0.825048773
