"from","to","strength","direction"
"ADAM17","CD46",0.74,0.805
"C4A","C4B",0.76,0.960833333333333
"CCL3","TNF",0.92,0.94
"FOXJ1","IGHV1OR15-1",0.74,0.929166666666667
"HLA-DPA1","HLA-DRA",0.96,0.9875
"IGHG1","IGHG4",0.7,0.94
"IL10","NR4A3",0.74,0.6825
"CEBPA","LYN",0.89,0.924166666666667
"HSPD1","LILRB1",0.78,0.918333333333333
"IHH","IL13",0.71,0.905
"IL10","THBS1",0.81,0.965
"BTN2A2","BTN3A1",0.71,0.913333333333333
"FCRL3","NFAM1",0.73,0.841666666666667
"IGLC1","IGLL5",0.77,0.8725
"IRAK4","TESPA1",0.8,0.8625
"NCKAP1L","PRKD2",0.87,0.933333333333333
"NFKBIA","NFKBIZ",0.99,0.9675
"NFKBID","PDE4B",0.94,0.91
"ACIN1","IKZF3",0.7,0.915
"CD74","CD86",0.72,0.963333333333333
"DOCK2","PTK2B",0.71,0.800833333333334
"PTGER4","ZBTB1",0.7,0.843333333333333
"TMEM176A","TMEM176B",0.97,1
"PTAFR","VSIR",0.72,0.6725
"BANK1","HLA-DOB",0.87,0.9525
"BPI","LTF",0.72,0.659166666666667
"IFI16","TRIM21",0.7,0.800833333333333
"DYRK3","FASN",0.78,0.933333333333333
"HIF1A","TFRC",0.73,0.745
"CAMK1D","RAC1",0.91,0.765
"CXCR4","SELENOK",0.91,0.8175
"DAPK2","EPX",0.84,0.893333333333333
"S100A12","S100A9",0.88,0.918333333333334
"S100A8","SIRPA",0.86,0.96
"HCLS1","VSIR",0.76,0.913333333333333
"BACH2","BTK",0.74,0.9525
"AZGP1","CD160",0.73,0.958333333333333
"IL18R1","MLH1",0.75,0.873333333333333
"NFKBIZ","TNF",0.77,0.910833333333333
"TGFB2","WNT5A",0.71,0.915
"LEF1","SEMA4D",0.73,0.883333333333334
"DLG5","KLRC4-KLRK1",0.7,0.856666666666667
"NCK1","SKAP1",0.77,0.803333333333333
"IGKV1D-12","IL5",0.8,0.98
"IGKV2D-24","TNF",0.74,0.6375
"IGLV2-11","IGLV3-25",0.81,0.910833333333333
"CRKL","EIF2B3",0.74,0.958333333333333
"PIK3CA","PLCL2",0.7,0.89
"BST2","IL7",0.72,0.895
"IGLL1","MIF",0.71,0.894166666666667
"XBP1","YY1",0.75,0.87
"CCL1","STAT1",0.77,0.950833333333333
"DDX21","IL17RA",0.77,0.953333333333333
"HSPA1B","TIGIT",0.79,0.744166666666667
"OAS2","OAS3",0.78,0.625
"IFI35","ISG15",0.87,0.654166666666667
"IGHV3-35","IGHV3-72",0.73,0.9125
"IKBKG","PRKCB",0.7,0.815833333333333
"ITK","SLA2",0.71,0.764166666666667
"FPR2","PVRIG",0.78,0.81
"RAC2","TFRC",0.74,0.738333333333333
"CXCR4","PTGER4",0.9,0.819166666666667
"IL15","NOD1",0.74,0.955
"OASL","PARP9",0.84,0.925
"S100A12","S100A8",0.7,0.941666666666667
"AICDA","DNASE1L3",0.72,0.933333333333333
"GRN","ITGB2",0.72,0.8075
"ICAM1","NLRP3",0.76,0.92
"INHA","TNFSF9",0.71,0.905
"FGL2","MILR1",0.7,0.915
"RIPK2","TNFAIP3",0.71,0.718333333333333
"CCR7","LEF1",0.7,0.825833333333333
"SELENOK","ZBTB1",0.72,0.821666666666667
"DDX58","MYB",0.79,0.9375
"CD40LG","CEBPB",0.7,0.849166666666667
"SELENOK","GPR183",0.75,0.605
"SPTA1","IL13",0.73,0.87
"IL6","TNFRSF1B",0.7,0.665
"CCL1","CXCL11",0.7,0.970833333333333
"CXCL8","TNFAIP3",0.78,0.5975
"NR1H2","OSM",0.73,0.888333333333333
"DNAJB9","TFRC",0.87,0.955
"HLA-DQB2","TRAV14DV4",0.76,0.8075
"IGKC","IGKV1-6",0.73,0.914166666666667
"ANXA3","CAMP",0.78,0.973333333333333
"MRGPRX2","CTSG",0.78,0.529166666666667
"PTPN6","RORA",0.72,0.8925
"CD226","PAK2",0.72,0.909166666666667
"MATR3","PYCARD",0.74,0.6825
"TNFAIP3","EREG",0.83,0.5125
"CCL1","CXCL10",0.74,0.830833333333333
"PTGER4","SELENOK",0.89,0.858333333333334
"CCL4","CCL3",0.72,0.550833333333333
"RAC1","RASAL3",0.73,0.900833333333333
"ADAM8","IRAK4",0.72,0.810833333333333
"AZU1","CTSG",0.71,0.838333333333333
"CCR4","GPI",0.84,0.938333333333333
"CDK5RAP3","HMOX1",0.76,0.955
"CDK5RAP3","PTPN2",0.76,0.919166666666667
"PRDX1","SOD1",0.72,0.889166666666667
"CD46","MSN",0.71,0.805833333333333
"CD55","SELENOK",0.82,0.791666666666667
"HLA-DPA1","HLA-DRB1",0.71,0.850833333333333
"HLA-E","NCSTN",0.7,0.8275
"CAMP","DEFA3",0.72,0.98
"CD83","CXCL8",0.91,0.915
"CLU","PPBP",0.7,0.831666666666667
"CXCL11","SERPING1",0.76,0.884166666666667
"CXCL2","CXCL3",0.88,0.9325
"DEFA1B","DEFA4",0.99,0.98
"DEFA1B","LTF",0.72,0.625
"POU2F2","PTPN6",0.72,0.863333333333333
"CD274","MR1",0.8,0.925
"GATA3","STAT6",0.76,0.808333333333333
"BCL3","C1S",0.76,0.945833333333333
"CARD9","HSPD1",0.81,0.940833333333334
"FCGR1A","SERPING1",0.8,0.880833333333333
"CCL4","TNF",0.8,0.921666666666667
"CXCL10","GBP1",0.75,0.9875
"DDX3X","HIF1A",0.76,0.889166666666667
"DEFA1B","DEFA3",0.76,0.9675
"IFI44","IFI6",0.92,0.963333333333333
"IFIT1","RSAD2",0.76,0.670833333333333
"IFIT2","IFIT3",0.79,0.676666666666667
"EREG","RIPK2",0.71,0.850833333333333
"HLA-E","XRCC5",0.71,0.8325
"CH25H","EXT1",0.7,0.8925
"BATF","TRIB1",0.71,0.761666666666667
"SPI1","TESC",0.71,0.688333333333333
"IGHA1","IGLC1",0.75,0.793333333333333
