from,to,strength,direction
CCR7,DOCK2,0.904761905,0.5
CCR7,CCL19,1,0.661904762
DOCK2,CCR7,0.904761905,0.5
DOCK2,CRTAM,1,0.647619048
DOCK2,DOCK8,1,0.738095238
CRTAM,SCRIB,0.8,0.578571429
CD6,CCR7,1,0.657142857
CD6,DOCK2,1,0.571428571
DOCK2,HAVCR2,1,0.938095238
CCL19,HAVCR2,0.8,0.868095238
CD2,IRF4,1,0.733333333
CD2,SLAMF1,1,0.519047619
CD2,SPI1,0.780952381,0.956666667
CD2,HAVCR2,0.866666667,0.988888889
CD2,BATF2,1,0.838095238
DOCK2,IRF4,0.733333333,0.668333333
DOCK2,SPI1,1,0.90952381
SLAMF1,DOCK2,1,0.523809524
SLAMF1,IRF4,1,0.728571429
SLAMF1,SPI1,0.780952381,0.976666667
SLAMF1,TSPAN32,0.828571429,0.97047619
SLAMF1,HAVCR2,0.771428571,0.973333333
SLAMF1,BATF2,0.923809524,0.838571429
SLAMF1,CLEC4D,0.942857143,0.962857143
SPI1,IL10,0.733333333,0.979365079
SPI1,TSPAN32,1,0.923809524
SPI1,DCSTAMP,0.99047619,0.912698413
SPI1,HAVCR2,1,0.866666667
TSPAN32,DCSTAMP,0.714285714,0.681111111
TSPAN32,HAVCR2,0.980952381,0.801587302
HAVCR2,IL10,1,0.99047619
HAVCR2,CLEC4D,0.99047619,0.880952381
CLEC4D,BATF2,0.857142857,0.629047619
AGER,C1QA,0.866666667,0.613888889
AGER,C5AR1,0.876190476,0.62952381
AGER,IFNG,0.742857143,0.741587302
AGER,TYROBP,0.761904762,0.83984127
AIF1,C1QA,0.952380952,0.88968254
AIF1,CX3CR1,0.961904762,0.861111111
AIF1,PTPRC,1,0.580952381
AIF1,TYROBP,1,0.971428571
AIF1,TREM2,0.819047619,1
AZU1,ITGAM,0.961904762,0.896031746
AZU1,TREM2,0.847619048,0.979365079
C1QA,IFNG,0.99047619,0.685714286
C1QA,TYROBP,0.942857143,0.693650794
