"","memory CD4+ T cells","memory CD8+ T cells","naive CD4+ T cells","naive CD8+ T cells","NKT","MAIT","Tregs","NK","Plasma cells","pre-B cells","cDC","pDC","Monocytes","Basophils","Neutrophils"
"ACE_ANXA1",5.89,1.19,1,0.09,0.41,3.26,1.45,0.01,0,0.09,0.58,0.73,0.42,0,0.04
"ACE_ANXA1_HMGB1",5.74,1.16,0.91,0.09,0.41,3.01,1.45,0.01,0,0.09,0.58,0.73,0.42,0,0.04
"ACE_SELENOS",2.35,0.57,0.25,0.09,0.27,1,0.81,0.01,0,0.56,0.58,0.73,0.22,0,0
"ACE_HLA-E_SELENOS",2.35,0.57,0.25,0.09,0.27,1,0.81,0.01,0,0.56,0.58,0.73,0.22,0,0
"ACE_ANXA1_SELENOS",2.27,0.54,0.17,0.09,0.27,1,0.81,0.01,0,0,0.58,0.73,0.18,0,0
"CCR7_RORC",2.2,0.11,0.11,0,0.27,0.84,0.81,0.01,0,0,0,0.36,0,0,0.04
"ACE_ANXA1_ITPKB",1.72,0.35,0.3,0.09,0.14,0.75,0.32,0.01,0,0.04,0,0.36,0.1,0,0.04
"ACE_ANXA1_PIK3CD",1.72,0.35,0.3,0,0.41,0.75,0.48,0,0,0,0,0.36,0.18,0,0
"CCR7_RORC_YY1",1.3,0.11,0.08,0,0.14,0.42,0.64,0,0,0,0,0.36,0,0,0.04
"CCR7_RORC_XBP1",1.3,0.1,0.11,0,0.27,0.42,0.48,0.01,0,0,0,0.36,0,0,0.04
"ACE_ANXA1_BAD",1.04,0.16,0.08,0,0.14,0.33,0.48,0,0,0,0,0.36,0.06,0,0
"PTPRC_TBX21_THEMIS",0.78,11,0.36,0.28,5.75,3.76,2.09,1.65,0.83,0,0,0.36,0.08,0.29,0.15
"TGFBR2_ZNF683",0.52,5.14,0.06,0.09,2.19,0.08,0.64,1.46,0.42,0.09,1.73,1.46,0.16,0,0.15
"CD81_TGFBR2_ZNF683",0.45,4.68,0.03,0.09,2.19,0.08,0.64,1.31,0.42,0.09,1.73,0.73,0.12,0,0.07
"RORA_TGFBR2_ZNF683",0.34,4.14,0,0.09,2.19,0.08,0.48,1.04,0.42,0,1.16,1.09,0.02,0,0.11
"IL7R_TGFBR2_ZNF683",0.52,3.13,0.06,0.09,1.51,0.08,0.64,0.27,0,0,1.16,0.36,0.04,0,0.07
"MYC_TGFBR2_XCL2",0.19,1.3,0.11,0,0.41,0.33,0.16,0.35,0,0,0,0,0.02,0,0.04
"ADTRP_NDFIP1",0.78,0.37,7.48,2.93,0,0.17,2.9,0.01,1.25,0,0.58,0.36,0.04,0.29,0
"ADTRP_LCK_NDFIP1",0.78,0.35,6.17,2.64,0,0.17,2.74,0.01,0.83,0,0,0.36,0.02,0,0
"ADTRP_DPP4",0.15,0.08,2.16,0.57,0,0,0.32,0,0,0,0.58,0,0,0,0.04
"ADTRP_CCR7_DPP4",0.07,0.06,1.97,0.47,0,0,0.32,0,0,0,0,0,0,0,0.04
"ADTRP_DPP4_NDFIP1",0.07,0.08,1.52,0.47,0,0,0.32,0,0,0,0.58,0,0,0,0
"ADTRP_DPP4_MIF",0.07,0.06,1.44,0.38,0,0,0.32,0,0,0,0.58,0,0,0,0.04
"AIF1_CCR7_RHOA",2.87,2.11,22.37,47.31,0.14,0.92,6.28,0.13,0.83,2.5,9.83,5.47,1.23,0.57,0.56
"CCR7_LEF1_TGFBR2",3.28,1.83,20.99,34.75,0.14,0.5,8.37,0.01,0.83,0.22,0.58,2.19,0.08,0,0.19
"AIF1_ITK_RHOA",3.5,3.65,11.85,25.31,2.05,1.76,5.8,1.46,1.25,0.04,2.89,6.57,1.51,0,1.04
"LEF1_MYC_TGFBR2",3.02,1.35,11.35,20.02,0.55,0.67,4.99,0.07,1.67,0.17,0,2.55,0.1,0,0.11
"CD248_LEF1",0.04,0.1,0.61,7.84,0,0,0.32,0,0,0,0,0.36,0,0,0
"CD248_LEF1_TCF7",0.04,0.1,0.58,7.55,0,0,0.32,0,0,0,0,0.36,0,0,0
"LEF1_TGFBR2_THRA",1.38,1.06,3.88,7.46,0.14,0.42,1.77,0.16,0,0.09,0,0.73,0.06,0,0
"CCR7_CD248_LEF1",0.04,0.08,0.47,6.99,0,0,0.32,0,0,0,0,0.36,0,0,0
"MYC_TGFBR2_THRA",1.64,0.76,2.35,5.1,0,1.76,0.48,0.08,0,0.34,1.16,0,0.5,0,0
"CD248_LEF1_SEMA4D",0.04,0.08,0.33,4.82,0,0,0.16,0,0,0,0,0.36,0,0,0
"CD248_LEF1_TGFBR2",0,0.06,0.19,4.15,0,0,0.32,0,0,0,0,0.36,0,0,0
"CCR7_IGHG1_LEF1",0.56,0.19,2.13,3.97,0.14,0,1.29,0.01,0.83,0.09,0,0,0.02,0,0.07
"CD248_HAX1_LEF1",0.04,0.06,0.3,3.78,0,0,0.16,0,0,0,0,0.36,0,0,0
"IGF1R_MYC_NFE2L2",0.48,0.21,2.02,3.78,0.41,0.5,0.16,0,0,0.3,1.16,0.73,0.97,0,0
"AQP3_CD248_LEF1",0.04,0.03,0.3,3.4,0,0,0.16,0,0,0,0,0,0,0,0
"CD248_LEF1_MYC",0.04,0.03,0.25,3.21,0,0,0.32,0,0,0,0,0.36,0,0,0
"CD248_CTNNB1_LEF1",0,0.06,0.11,2.36,0,0,0.16,0,0,0,0,0.36,0,0,0
"CD248_LEF1_LFNG",0.04,0.03,0.14,1.51,0,0,0.16,0,0,0,0,0.36,0,0,0
"PCBP2_TSPAN6",0.19,0.1,0.53,1.42,0.14,0.42,0.16,0.05,0,0.04,0.58,0.36,0,0,0
"CD248_LEF1_SOS1",0,0.02,0.11,1.42,0,0,0.16,0,0,0,0,0.36,0,0,0
"PCBP2_RHOA_TSPAN6",0.11,0.08,0.33,1.23,0.14,0.42,0,0.04,0,0.04,0.58,0.36,0,0,0
"CCR7_RHOA_TSPAN6",0.11,0.06,0.42,1.13,0.14,0.08,0,0,0,0.04,0,0.36,0,0,0
"AIF1_RHOA_TSPAN6",0.04,0.02,0.25,1.13,0,0.17,0,0,0,0,0,0.36,0,0,0
"LEF1_TGFBR2_TWSG1",0.04,0.14,0.42,1.04,0.14,0.17,0.16,0.01,0.42,0,0,0,0.04,0,0
"STAT3_TBX21_ZBTB1",0.3,3.81,0.08,0.09,9.18,1.67,0.97,4.61,0.83,0.39,0.58,0.73,0.22,0,0.11
"XBP1_XCL1",0.45,1.51,0.06,0.19,7.95,1.51,0.32,3.45,0,0,0.58,0,0.12,0,0.04
"GATA3_XCL1",0.48,0.86,0.11,0,6.44,1.17,0.48,1.71,0,0,0.58,0,0.02,0,0
"BAX_XCL1",0.45,1.29,0.06,0.19,6.44,1.17,0.32,2.42,0,0.04,0.58,0.36,0.1,0,0.04
"TMBIM6_XBP1_XCL1",0.34,1.3,0.06,0.09,6.3,1.42,0.32,2.8,0,0,0.58,0,0.12,0,0.04
"ATF2_BAX_CD160",0,1.73,0.03,0.09,6.03,0.59,0.48,3.51,0.42,0.09,0.58,0.36,0.08,0,0.04
"ATM_GATA3_XCL1",0.3,0.76,0.11,0,5.75,1,0.32,1.51,0,0,0.58,0,0.02,0,0
"ATM_BAX_XCL1",0.26,1.03,0.06,0.19,5.75,1.17,0.16,2.11,0,0.04,0.58,0.36,0.06,0,0
"RASAL3_XCL1",0.34,1.44,0.06,0.09,5.62,1.34,0.48,2.14,0,0,0,0,0.06,0,0.04
"ITGB7_XCL1",0.37,1.14,0.03,0.09,5.48,1.09,0.16,2.04,0,0,0,0,0.08,0,0.04
"XBP1_XCL1_YY1",0.26,0.78,0.03,0,5.48,0.92,0.16,1.65,0,0,0,0,0.12,0,0.04
"CD226_KLRC4_PAK2",0.04,1.97,0.11,0.94,5.48,0.25,0,2.35,0.42,0,0,0,0.02,0,0.04
"GATA3_RHOA_XCL1",0.37,0.63,0.06,0,5.34,0.84,0.32,1.34,0,0,0,0,0.02,0,0
"HIF1A_STAT3_TBX21",0.48,2.25,0.06,0,5.34,1,0.32,2.28,0.42,0.22,0.58,1.09,0.44,0,0.22
"GATA3_KMT2E_XCL1",0.22,0.76,0.11,0,5.21,0.84,0.48,1.23,0,0,0.58,0,0,0,0
"BAX_XBP1_XCL1",0.15,0.76,0.03,0.19,4.93,1,0.16,1.85,0,0,0.58,0,0.04,0,0.04
"BAX_SLC25A5_XCL1",0.22,0.79,0.03,0.19,4.93,0.67,0.32,1.65,0,0,0.58,0.36,0.1,0,0
"ITGB7_MBP_XCL1",0.22,0.89,0,0,4.79,0.5,0.16,1.71,0,0,0,0,0.08,0,0.04
"CD81_ITGB7_XCL1",0.22,1.1,0,0,4.79,1,0.16,1.77,0,0,0,0,0.02,0,0.04
"ETS1_GATA3_XCL1",0.41,0.7,0.08,0,4.79,1,0.48,1.31,0,0,0.58,0,0.02,0,0
"IL7R_PTPRC_XCL1",0.89,2.03,0.11,0.28,4.79,2.09,0.32,1.33,0,0,0.58,0,0.04,0,0.04
"GATA3_XBP1_XCL1",0.3,0.54,0.03,0,4.66,1.09,0.32,1.37,0,0,0.58,0,0,0,0
"ATP5IF1_BAX_XCL1",0.26,0.87,0.03,0.09,4.66,0.92,0.32,1.66,0,0,0.58,0.36,0.06,0,0.04
"KLRC2_VAMP3_VAMP8",0.04,0.84,0.03,0.19,4.52,0,0.32,2.5,0.83,0.04,0,0.36,0.22,0,0.11
"BAX_XCL1_YY1",0.22,0.73,0,0,4.52,0.75,0.32,1.26,0,0.04,0,0.36,0.1,0,0.04
"EOMES_XCL1",0.15,1.14,0,0,4.38,0.5,0.16,1.61,0,0,0,0,0.02,0,0
"ITGB7_XBP1_XCL1",0.19,0.7,0,0,4.38,0.92,0.16,1.75,0,0,0,0,0.06,0,0
