Immune cell type,Cluster number,Network biomarker,Ratio
memory CD4+ T cells,1,CCR7_IL7R_TRAT1,85.26%
memory CD8+ T cells,1,CD8A_CD8B_PTPRC,88.34%
,2,CD8A_NKG7_PTPRC_SLA2,82.42%
,3,CD8A_GZMA_HLA-DRB1,92.73%
,4,CD3E_CD8A_CD8B_GZMA_HLA-DRB1_NKG7_PTPRC_SLA2,82.73%
,5,CD8A_GZMA_HLA-DRB1_NKG7_PTPRC_SLA2,92.30%
naive CD4+ T cells,1,CD2_HLA-A_HLA-E_IL21_IL7R_PTPRC,87.80%
,2,CCR7_CD247_CXCL13_ICOS,80.83%
,3,BTLA_CCR7_ITK,80.27%
,4,BTLA_GPR18_ITK,90.23%
,5,BTLA_CCR7_CD247_CXCL13_ICOS_ITK,83.89%
,6,BTLA_CCR7_GPR18_ITK,97.66%
naive CD8+ T cells,1,CD8A_IFNG_IL7R,100%
,2,CCL3_CD8A_EGR1,100%
,3,A2M_EOMES_PTPRC,100%
,4,CD28_CRTAM_IFNG,100%
,5,CD8A_EOMES_IFNG,90.29%
,6,EOMES_KLRG1_SH2D1A,100%
,7,CCL3_EGR1_IFNG,100%
,8,CRTAM_EOMES_IFNG,91.95%
,9,CD74_HEATR9_PTPRC_ZAP70,84.91%
,10,A2M_CD28_IFNG,100%
,11,A2M_CD8A_CRTAM_EOMES_IFNG_PTPRC,100%
,12,A2M_EOMES_KLRG1_PTPRC_SH2D1A,100%
T helper cells,1,CD2_FCN3_HLA-E,87.50%
,2,CD40LG_EGR1_NLRP3,97.34%
T effector cells,1,CCR2_CORO1A_IKZF1_ITGA4_PTPRC_RAC2_TRAV9-2,100%
NKT,1,HCST_IL2RB_PTPRC_TYROBP,86.17%
,2,TRDC_XCL2,93.69%
,3,CORO1A_KLRC2,87.53%
,4,TRBC2_TRDC,96.76%
,5,BCL2_PRKDC_YES1,90.98%
,6,DOCK10_KLRK1_PLCG2,91.39%
,7,CRTAM_IRF1_XCL2,85.87%
,8,CD247_DOCK10_HCST_IL2RB_KLRK1_PLCG2_PTPRC_TRDC_TYROBP_XCL2,83.13%
,9,CD247_CORO1A_DOCK10_KLRK1_KLRK1_NKG7_PLCG2_TRBC2_TRDC_TYROBP_XCL2,82.84%
NK,1,GZMB_HLA-A_HLA-B_HLA-E_NKG7_PTPRC,88.39%
Plasma cells,1,CD79A_IGKC_MZB1,81.66%
pre-B cells,1,BANK1_HLA-A_MSA4A1_PTPRC,82.75%
cDC,1,CD74_CD80_CD86_HLA-DRA_PTPRC,88.39%
,2,HLA-DRA_HLA-DRB1_YES1,84.63%
pDC,1,GZMB_HLA-E_IRF8_LILRA4,80.16%
,2,MPEG1_PLD4_PTPRC_SH2B3,81.03%
,3,C1R_C1S_SERPING1,88.82%
,4,CD74_MSH2_PRRCC2C_SOS1,88.82%
,5,CD74_HLA-DRA_MTOR_NSD2_PRRCC2C,86.67%
,6,NF1_OTUD7B_SUPT6H,81.87%
,7,ARNT_KMT2E,80.86%
,8,ARNT_CD74_HLA-DRA_KMT2E_MTOR_NSD2_PRRCC2C,86.43%
,9,ARNT_CD74_KMT2E_MSH2_PRRCC2C_SOS1,86.49%
Monocytes,1,IL1B_LCP2_NLRP3_NRAA3,82.89%
,2,AIF1_CD74_GAPT_ITGB2_MNDA_SPI1_TYROBP,82.80%
,3,CLEC5A_FCER1G_IL1B,85.76%
,4,CD93_TYROBP,81.96%
,5,AIF1_CD74_CD93_CLEC5A_FCER1G_HLA-DMA_HLA-DPA1_HLA-DPB1_HLA-DRA_HLA-DRB1_HLA-E_IL1B_ITGB2_LAPTM5_LCP2_LPXN_LST1_MNDA_PLEK_PTPRC_SPI1_TYROBP,84.73%
,6,AIF1_CD74_GAPT_HLA-DQA1_IL1B_ITGB2_LAPTM5_LCP2_MNDA_NLRP3_NRAA3_PTPRC_TYROBP_ZFP36,81.25%
,7,CLEC5A_FCER1G_IL1B_LCP2_LPXN_NLRP3_NRAA3_PLEK_PTPRC,83.99%
,8,AIF1_CD74_CD86_CX3CR1_FCER1G_HLA-DPA1_HLA-DPB1_IL1B_LAPTM5_LCP2_LST1_NLRP3_NRAA3_PTPRC_SPI1_TYROBP_ZFP36,82.43%
Basophils,1,BTK_MSA4A,81.35%
,2,FCER1G_LAPTM5_TESPA1_TYROBP,84.19%
,3,BTK_FCER1G_LAPTM5_MSA4A_TESPA1_TYROBP,99.72%
Neutrophils,1,S100A8_S100A9,97.64%
Macrophages,1,C1QA_C1QB_C1QC_CD74_FCER1G_HLA-DRA_LAPTM5_TYROBP,91.37%
