ID,Description,geneSet,geneCount
GO:0001768,establishment of T cell polarity,CCR7/DOCK2/FLOT2/GSN/MYH9/CCL19/CCL21/RIPOR2/TRAF3IP2/SCRIB/CRTAM/CYP26B1/DOCK8,13
GO:0001770,establishment of natural killer cell polarity,SNX27,1
GO:0001771,immunological synapse formation,CD6/CD81/CCR7/DLG1/DOCK2/EPHB1/LGALS3/MSN/PRF1/CCL19/CCL21/NCK2/DOCK8/HAVCR2,14
GO:0001773,myeloid dendritic cell activation,CAMK4/CD2/CSF2/DOCK2/HMGB1/RBPJ/IL4/IL10/IRF4/ITGB6/ITGB8/LTBR/NOTCH2/PSEN1/RELB/SLAMF1/SPI1/TGFBR2/TRAF6/TSPAN32/DHRS2/UBD/BATF/PYCARD/BATF3/DCSTAMP/HAVCR2/BATF2/CLEC4D,29
GO:0001774,microglial cell activation,AGER/AIF1/APP/ATM/AZU1/C1QA/C5AR1/CTSC/CLU/CX3CR1/FPR2/GRN/IFNG/IFNGR1/IFNGR2/IL4/IL6/IL13/ITGAM/ITGB2/JAK2/JUN/LDLR/MAPT/MMP8/PTPRC/CCL3/CX3CL1/SNCA/TLR2/TLR3/TNF/TYROBP/TRPV1/CST7/SPHK1/NR1D1/TLR6/SYT11/STAP1/TREM2/TTBK1/LRRK2/TAFA3/MIR128-1/MIR142/MIR181C,47
GO:0001776,leukocyte homeostasis,ABL1/ADA/AKT1/ANXA1/FAS/AXL/BAK1/BAX/BCL2/TNFRSF17/CAMLG/CASP3/CD74/TSC22D3/GPR183/FLT3/NCKAP1L/HIF1A/HMGB1/IL2/IL2RA/IL6/ITPKB/JAK3/LGALS2/LGALS9/LMO1/LYN/MEF2C/KITLG/MIF/MPL/P2RX7/PDE4B/PIK3CB/PIK3CD/PMAIP1/PPP3CB/PKN1/RAG1/RPS6/CXCL6/SKIL/SOS1/SOS2/SPTA1/STAT5B/ADAM17/TNFAIP3/BAP1/FOXN1/TNFSF14/FADD/BCL10/DNAJA3/CCNB2/BCL2L11/SH2B3/TCIRG1/MERTK/TNFSF13B/TRAF3IP2/RIPK3/CORO1A/TNFRSF13B/SLC7A11/LAT/SIT1/SLC39A3/SLC40A1/FOXP3/RC3H2/PPP2R3C/XKR8/DOCK10/GPAM/SLC46A2/JAM3/ZC3H8/GPR174/SLC15A4/SPNS2/DOCK11/RC3H1/NKX2-3/GAPT/HCAR2/MIR17HG/CCR2,89
GO:0001777,T cell homeostatic proliferation,BAX/IL2/IL2RA/LMO1,4
GO:0001779,natural killer cell differentiation,AXL/PRDM1/GAS6/IL15/IL15RA/NFIL3/PBX1/PIK3CD/PTPRC/SLAMF1/SP3/STAT5B/TYRO3/PGLYRP1/TOX/RASGRP1/MERTK/KAT7/TUSC2/ZBTB1/HECTD1/PGLYRP2/ZNF683/RABL3,24
GO:0001780,neutrophil homeostasis,ANXA1/AXL/HMGB1/IL6/ITPKB/MPL/PDE4B/PIK3CB/PIK3CD/SH2B3/MERTK/SLC7A11/XKR8/JAM3/HCAR2/CCR2,16
GO:0001781,neutrophil apoptotic process,ANXA1/IL6/ITPKB/PIK3CB/PIK3CD/SLC7A11/HCAR2,7
